year,country,500,500t,1000,1000t,1500,1500t,2000,2000t,total
2014,ITA,3,1:41.44,2,1:40.31,1,1:40.76,1,1:40.86,6:43.37
2006,GBR,3,1:38.72,1,1:42.51,1,1:43.47,1,1:43.12,6:47.82
2001,IRL,2,1:39.70,1,1:43.32,1,1:43.6,1,1:43.06,6:49.38
2002,IRL,1,1:41.31,1,1:42.76,1,1:42.03,1,1:43.76,6:49.86
2009,NZL,1,1:38.15,1,1:43.57,1,1:44.75,1,1:44.31,6:50.78
2008,NZL,1,1:40.52,1,1:43.49,1,1:46.97,1,1:41.40,6:52.38
2015,NZL,4,1:43.32,2,1:45.29,2,1:44.54,1,1:40.65,6:53.80
2016,IRL,6,1:54.16,2,1:54.16,1,1:52.86,1,1:51.66,6:53.80
2007,NZL,1,1:40.07,1,1:43.71,1,1:44.74,1,1:45.37,6:53.89
2011,DEN,6,1:44.51,2,1:44.42,1,1:43.72,1,1:42.08,6:54.73
2018,GER,1,1:39.58,1,1:44.23,2,1:45.90,1,1:46.65,6:56.36
2012,DEN,5,1:43.19,1,1:43.27,1,1:44.83,1,1:45.12,6:56.41
2019,ITA,1,1:40.19,1,1:45.90,1,1:46.60,1,1:46.79,6:59.48
2003,ITA,2,1:43.11,2,1:46.14,2,1:45.63,1,1:44.77,6:59.65
2004,GER,2,1:43.41,2,1:46.82,2,1:47.33,1,1:45.48,7:03.04
2010,ITA,3,1:41.76,1,1:44.62,1,1:48.22,1,1:51.22,7:05.82
2013,DEN,3,1:46.26,2,1:51.13,1,1:47.23,1,1:46.51,7:11.13
2005,GRE,1,1:46.97,1,1:50.97,1,1:50.49,1,1:49.36,7:17.79
2017,IRL,4,1:42.15,1,1:43.23,1,1:42.42,1,1:41.07,7:32.84